StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q5_5_TEXT,Q6,Q7,Q8,Q9,Q9_2_TEXT,Q9,Q9_4_TEXT,Q9,Q10,Q10_9_TEXT,Q11,Q11_3_TEXT,Q97,Q98,CP/PI 1,CP/PI 2,CP/PI 3,CP/PI 4,PU 1,PU 2,Repeat of PU 2,PU 3,PU 4,SQ/SYQ/AC 1,SQ/SYQ/AC 2,SQ/SYQ/AC 3,SQ/SYQ/AC 4,IQ 1,IQ 2,IQ 3,IQ 4,IQ 5,PS 1,PS 2,PS 3,PS 4,PEOU 1,PEOU 2,PEOU 3,PEOU 4,ICSE 1,ICSE 2,ICSE 3,ICSE 4,SCSE 1,SCSE 2,SCSE 3,SCSE 4,BI 1,BI 2,BI 3,BI 4,AU 1,AU 2,AU 3,AU 4,PSOC/VOL 1,PSOC/VOL 2,PSOC/VOL 3,PSOC/VOL 4,Q102
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please read the following informed consent document. Feel free to print a copy of consent for your records.



Consent Form Research Participant Informed Consent Form

Please read this document carefully before you decide to participate in this research study. Your participation is voluntary, and you can decline to participate, or withdraw consent at any time, with no consequences.



Study Title: Understanding E-learning Acceptance of Gen Z Students: An Extension of the Technology Acceptance Model (TAM)

Person(s) conducting the research: Dr. Sanaz Motamedi, ISE Department at UF

Email: smotamedi@ufl.edu

Phone: (401) 406-1720



Purpose: This study is being done to reveal the factors contributing to e-learning technology acceptance within Generation Z during COVID-19. Analysis from this focus group will shed light on the aspects of e-learning important to current university students.



What you will be asked to do? You will be asked to complete a questionnaire and share your thoughts about online learning.



Time required: This study will require no more than 20 minutes of your time.



Risks and benefits: There are no risks or discomforts anticipated as well as no direct benefits of participation for you.



Confidentiality: There is a minimal risk that security of any online data may be breached, but our survey host (QUALTRICS) uses strong encryption and other data security methods to protect your information. Only the researchers will have access to your information on the Qualtrics server. No identifying information will be collected or connected with your responses, which will be anonymous. However, even if any responses were to be disclosed outside of the research, the subject would not be at any risk. The participants in this study won’t be asked to disclose sensitive information and the questions aren’t harmful or offensive.



Compensation: It will not cost you anything to take part in this study nor will participation be monetarily compensated for.



Withdrawal from the study: You are free to withdraw your consent and to stop participating in this study at any time without consequence. You can decline to answer any question you don’t wish to answer. If you withdraw, your information will be discarded. If you wish to discuss the information above or any discomforts you may experience, please ask questions now or contact one of the research team members listed at the top of this form.



If you have any questions regarding your rights as a research subject, please contact the Institutional Review Board (IRB02) office (University of Florida; PO Box 100173; Gainesville, FL 32610; (352) 392-0433 or irb2@ufl.edu.)



Now that you’ve read about the study, if you wish to participate, click the “I agree to participate” button to continue; if you do not consent to participate, click “I do not wish to participate” or just close this window.",Which university do you attend?,What is your gender?,What year were you born?,What year are you in college? - Selected Choice,What year are you in college? - Other - Text,What is your major?,In what range is your GPA?,Have you taken at least three online classes?,"Were you required to take these classes online? If yes, for how many semesters was online mandatory? - Selected Choice","Were you required to take these classes online? If yes, for how many semesters was online mandatory? - Yes, for ___ semesters - Text",Where did you live while taking online classes? - Selected Choice,Where did you live while taking online classes? - Other (write in) - Text,"How would you rate the quality of your access to the internet, including  Wi-Fi connection, loading speed, physical connection, etc., when using online learning technology?","Which online services did you use to access online classes (Zoom, Honorlock, ProctorU, Canvas, Moodle, Blackboard, Buzz, etc.)? Select all that apply. - Selected Choice","Which online services did you use to access online classes (Zoom, Honorlock, ProctorU, Canvas, Moodle, Blackboard, Buzz, etc.)? Select all that apply. - Other (write in) - Text",Which device(s) do you use to access e-learning? Select all that apply. - Selected Choice,Which device(s) do you use to access e-learning? Select all that apply. - Other - Text,My learning style is compatible with the e-learning system.,My personality naturally allows me to work well with the e-learning system.,I enjoy the way the e-learning system lets me interact with and learn from my instructor,I enjoy the way the e-learning system lets me interact and collaborate with my classmates,Using e-learning is compatible with most aspects of my coursework,"In general, e-learning fits well with the environment I like to study in and interact with",I find autonomy over where and when to use the e-learning system to be useful in my learning,The features of the e-learning system enhance my learning performance,The features of the e-learning system enhance my learning performance,My productivity is elevated through the utilization of e-learning in my study,The features of the e-learning system enhance my learning effectiveness,The e-learning system is accessible to me because my technology meets the demand,I consider the e-learning system content and functions to be satisfactory,E-learning live help services are dependable,The e-learning system makes the information quick and easy to access,The information produced through the e-learning system is up to date enough for my needs,The information procured through the e-learning is relevant to my necessities,The information obtained from the e-learning system is clear,The e-learning system presents the information in a appropriate format,The e-learning system provides quality feedback on learning performance,The e-learning system has a strong security policy to protect sensitive information,I am confident that the information I provide to the e-learning system will be secure,Information I submit to the e-learning system cannot be misused,There is an effective mechanism to address any violation of information I provide to the e-learning system,I find it easy to use the e-learning system,I find interacting with the e-learning system to be clear and understandable,Interacting with the e-learning system does not require a lot of mental effort,I find it easy to get the e-learning system to do what I want it to do,The instructor handles the e-learning system effectively,The instructor explains how to use the e-learning components,The instructor encourages and motivates my use of the e-learning system,The instructor is capable of using the e-learning system to teach effectively,I feel confident operating the e-learning system,I am confident of using the e-learning system even if there is no one around to show me how,I am comfortable using the e-learning systems features,I have sufficient computer skills to use the e-learning system,I intend to use the e-learning system in the near future,I will use the e-learning system on a regular basis in the future,I intend to use the functions and content of the e-learning system in the future,I intend to use the e-learning system as often as needed,I use the e-learning system on a daily basis,I use the e-learning system frequently,"Overall, I use the e-learning system to a great extent",I spend a lot of time using the e-learning system,The COVID-19 pandemic is severe enough to warrant online schooling,"Online learning is helpful for maintaining beneficial COVID-19 protocols, such as social distancing","I do not mind being required to use e-learning instead of in person schooling, due to COVID-19","The compulsory online schooling, due to COVID-19, is adequate for my studies.",Would you like to be considered for winning a gift card as a token of our appreciation? (The first 50 participants who agree to be considered and answer all the questions will receive a $10 gift card!)
11/22/22 10:05,11/22/22 10:13,0,100,458,1,11/22/22 10:13,,,,,29.6138,-82.386,anonymous,EN,1,University of Florida,2,7,3,,Computer Engineering ,2,1,2,2,1,,2,"2,3,4,5",,"1,2",,5,5,4,4,5,5,4,4,4,5,4,5,4,3,5,5,3,5,5,3,3,4,3,3,5,5,4,5,4,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,1
11/22/22 10:06,11/22/22 10:13,0,100,457,1,11/22/22 10:13,,,,,34.11,-117.2955,anonymous,EN,1,Columbia University,1,5,2,,Quantum mechanics,2,1,1,,3,,2,"2,5,7",,1,,4,4,5,4,3,5,5,4,4,4,4,4,4,4,5,4,5,5,4,4,2,4,5,4,4,4,2,5,5,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,1
11/22/22 10:07,11/22/22 10:16,0,100,534,1,11/22/22 10:16,,,,,22.2908,114.1501,anonymous,EN,1,University of Wisconsin-Madison,1,5,4,,pedagogy,3,1,2,2,1,,3,"5,7",,"1,2",,2,2,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,1
11/22/22 10:14,11/22/22 10:19,0,100,267,1,11/22/22 10:19,,,,,28.6344,-81.6221,anonymous,EN,1,University of Florida,2,5,4,,Industrial and Systems Engineering ,2,1,1,,1,,1,"2,3,4,5",,"1,2",,4,5,3,2,2,4,4,2,2,1,3,4,4,3,4,5,5,3,4,2,3,4,3,3,5,5,5,3,4,4,4,4,5,5,5,5,5,4,4,5,4,5,5,5,5,5,2,2,1
11/22/22 10:07,11/22/22 10:20,0,100,803,1,11/22/22 10:20,,,,,40.7787,-73.9132,anonymous,EN,1,Stanford University,1,8,4,,Computer System Major,4,1,1,,2,,2,"3,5,6,9",,"1,2",,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
11/22/22 10:07,11/22/22 10:21,0,100,838,1,11/22/22 10:21,,,,,41.3723,-73.751,anonymous,EN,1,Stanford University,1,8,4,,Computer System Major,4,1,1,,2,,1,"3,6",,"1,2",,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
11/22/22 10:16,11/22/22 10:21,0,100,321,1,11/22/22 10:21,,,,,28.6344,-81.6221,anonymous,EN,1,University of Florida ,2,6,4,,Industrial Engineering,4,1,2,2,1,,2,"2,3,5",,"1,2",,4,2,3,4,2,3,4,2,2,2,2,5,4,3,4,4,4,4,4,3,4,5,4,3,4,4,4,4,4,4,5,5,5,2,5,4,4,3,4,4,4,4,4,5,4,5,5,3,1
11/22/22 10:18,11/22/22 10:21,0,100,207,1,11/22/22 10:21,,,,,30.1172,-81.4119,anonymous,EN,1,University of Florida,1,6,4,,Industrial Engineering ,4,1,2,3,4,Apartment with roommates,2,"2,3,5",,"1,2,3",iPad,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
11/22/22 10:16,11/22/22 10:23,0,100,366,1,11/22/22 10:23,,,,,28.4113,-81.7812,anonymous,EN,1,Florida,1,6,3,,ISE,2,1,2,3,1,,2,"2,3,5",,"1,2",,1,2,2,2,4,2,2,2,2,1,3,4,4,3,3,4,2,4,4,2,4,4,4,3,4,2,4,2,3,4,3,3,4,3,4,5,4,3,4,4,5,5,5,4,4,5,2,1,1
